building_name,net_leased_area,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sumwithd
'B41_II',180.326171875,"(2010,2015)",-398.00827974491,0.6614058108021418,85.68847731904191,46139.68184499755,669.0121355975145,635.3124204891105,-288.521875,None,None,None,None,5547.743362122831,None,109.78642763157632,637.5022502877584,321.3464497132646,4694.635603006952,-4396.510418263051,58466.49861884656,54069.98820058351
'B42_II',180.325927734375,"(2010,2015)",-398.00774088807543,0.6614049153357414,85.6883613068281,46139.64710012623,669.0112761769383,635.3116519075843,-288.521484375,None,None,None,None,5547.735850844028,None,109.78627899354571,637.5014567851645,321.34631874547705,4694.632216931489,-4396.507736169424,58466.45066613546,54069.94292996604
'B43_II',180.326171875,"(2010,2015)",-398.00827974491,0.6614058108021418,85.68847731904191,46139.68184456029,669.0121355967835,635.3124204876665,-288.521875,None,None,None,None,5547.743362280084,None,109.78642763157632,637.5022502866606,321.34644970846836,4694.635602960111,-4396.510418211474,58466.49861851164,54069.98820030017
'B44_II',180.325927734375,"(2010,2015)",-398.00774088807543,0.6614049153357414,85.6883613068281,46139.64710202027,669.0112761801046,635.3116519138395,-288.521484375,None,None,None,None,5547.73585082252,None,109.78627899354571,637.5014567899196,321.3463187662532,4694.632217134395,-4396.50773639285,58466.45066824586,54069.94293185301
'B45_I',180.326171875,"(2010,2015)",-398.00827974491,0.6614058108021418,85.68847731904191,46139.68184791178,669.0121356023863,635.312420498735,-288.521875,None,None,None,None,5547.743362420044,None,109.78642763157632,637.5022502950749,321.3464497452313,4694.63560331915,-4396.510418606823,58466.49862242397,54069.98820381715
'B46_II',180.326171875,"(2010,2015)",-398.00827974491,0.6614058108021418,85.68847731904191,46139.68184499754,669.0121355975145,635.3124204891105,-288.521875,None,None,None,None,5547.743362128192,None,109.78642763157632,637.5022502877584,321.3464497132646,4694.635603006952,-4396.510418263051,58466.49861885191,54069.98820058886
'B47_II',180.326171875,"(2010,2015)",-398.00827974491,0.6614058108021418,85.68847731904191,46139.68183800167,669.0121355858196,635.312420466006,-288.521875,None,None,None,None,5547.743362172499,None,109.78642763157632,637.5022502701945,321.34644963652534,4694.635602257493,-4396.510417437798,58466.49861102179,54069.98819358399
'B48_I',180.326416015625,"(2010,2015)",-398.0088186017446,0.6614067062685421,85.68859333125572,46139.71659234585,669.0129950222316,635.3131890788173,-288.522265625,None,None,None,None,5547.750873100151,None,109.78657626960695,637.5030437965712,321.34658070822246,4694.63898934777,-4396.513100648874,58466.54657404423,54070.03347339536
'B49_III',136.068359375,"(2010,2015)",-300.32431276862286,0.4990756617365755,64.6577831986926,37167.25186782945,508.74649123003496,487.15321834133135,-217.709375,None,None,None,None,4186.160619470761,None,82.8413254390268,486.9430476278858,268.27428522998434,3794.35879403107,-3594.8821053416905,46764.020274199545,43169.138168857855
'B4_II',180.326171875,"(2010,2015)",-398.00827974491,0.6614058108021418,85.68847731904191,46139.68183858433,669.0121355867936,635.3124204679302,-288.521875,None,None,None,None,5547.7432836501,None,109.78642763157632,637.5022502716573,321.3464496429167,4694.635602319913,-4396.510417506532,58466.49853315522,54069.988115648695
'B50_III',136.068359375,"(2010,2015)",-300.32431276862286,0.4990756617365755,64.6577831986926,37167.25186608111,508.7464912271123,487.1532183355573,-217.709375,None,None,None,None,4186.160619657419,None,82.8413254390268,486.94304762349645,268.27428521080645,3794.358793843773,-3594.882105135451,46764.020272418304,43169.13816728285
'B51_III',136.068603515625,"(2010,2015)",-300.3248516254575,0.49907655720297595,64.65789921090642,37167.286610369476,508.74735064671415,487.1539869151585,-217.709765625,None,None,None,None,4186.168130498971,None,82.84147407705743,486.94384112462694,268.2744161721993,3794.362179856784,-3594.8847871603134,46764.068224036,43169.18343687568
'B52_III',136.06884765625,"(2010,2015)",-300.3253904822921,0.49907745266937636,64.65801522312024,37167.32135757209,508.74821007118766,487.15475550438407,-217.71015625,None,None,None,None,4186.175641256528,None,82.84162271508805,486.94463463307386,268.27454716555906,3794.365566181995,-3594.887469528947,46764.1161788499,43169.22870932095
'B53_I',180.326416015625,"(2010,2015)",-398.0088186017446,0.6614067062685421,85.68859333125572,46139.71658520427,669.0129950102933,635.3131890552315,-288.522265625,None,None,None,None,5547.750873273285,None,109.78657626960695,637.5030437786415,321.34658062988507,4694.638988582702,-4396.5130998064315,58466.54656617891,54070.03346637248
'B54_II',180.326416015625,"(2010,2015)",-398.0088186017446,0.6614067062685421,85.68859333125572,46139.71658243573,669.0129950056651,635.3131890460883,-288.522265625,None,None,None,None,5547.75087282835,None,109.78657626960695,637.503043771691,321.34658059951647,4694.638988286113,-4396.513099479848,58466.54656261776,54070.033463137916
'B55_II',180.325927734375,"(2010,2015)",-398.00774088807543,0.6614049153357414,85.6883613068281,46139.647095461645,669.0112761691406,635.311651892179,-288.521484375,None,None,None,None,5547.735851009345,None,109.78627899354571,637.5014567734535,321.34631869431024,4694.632216431778,-4396.507735619175,58466.4506610504,54069.94292543123
'B56_I',180.326171875,"(2010,2015)",-398.00827974491,0.6614058108021418,85.68847731904191,46139.68184047866,669.0121355899604,635.3124204741864,-288.521875,None,None,None,None,5547.743362190106,None,109.78642763157632,637.5022502764132,321.34644966369603,4694.63560252285,-4396.510417729991,58466.49861382745,54069.98819609746
'B57_III',136.068603515625,"(2010,2015)",-300.3248516254575,0.49907655720297595,64.65789921090642,37167.28661984235,508.7473506625498,487.1539869464436,-217.709765625,None,None,None,None,4186.168130558793,None,82.84147407705743,486.9438411484095,268.27441627610915,3794.3621808716002,-3594.8847882777604,46764.06823475831,43169.18344648055
'B58_III',136.068359375,"(2010,2015)",-300.32431276862286,0.4990756617365755,64.6577831986926,37167.25185850229,508.7464912144429,487.15321831052745,-217.709375,None,None,None,None,4186.160619594187,None,82.8413254390268,486.94304760446903,268.2742851276728,3794.3587930318636,-3594.882104241432,46764.02026382448,43169.138159583046
'B59_III',136.068359375,"(2010,2015)",-300.32431276862286,0.4990756617365755,64.6577831986926,37167.25186782945,508.74649123003496,487.15321834133135,-217.709375,None,None,None,None,4186.160619497821,None,82.8413254390268,486.9430476278858,268.27428522998434,3794.35879403107,-3594.8821053416905,46764.020274226605,43169.138168884914
'B60_III',136.068603515625,"(2010,2015)",-300.3248516254575,0.49907655720297595,64.65789921090642,37167.28661211782,508.74735064963687,487.15398692093254,-217.709765625,None,None,None,None,4186.168130494199,None,82.84147407705743,486.9438411290163,268.2744161913772,3794.3621800440815,-3594.8847873665527,46764.06822599914,43169.183438632586
